equipment_type,manufacturer,condition,age_years,operating_hours,original_value,listing_price,location,seller_type,has_maintenance_records,has_warranty,photos_count,description_length,listing_month,price_to_original_ratio,hours_per_year,time_to_sale_days
Wheel Loader,Caterpillar,Good,4.6,9939,314212,149105,Alberta Canada,Equipment Dealer,True,False,10,176,5,0.475,2164,25.5
Bulldozer,Caterpillar,Needs Repair,5.0,6834,653220,158290,New South Wales,Rental Company,False,False,6,274,5,0.242,1354,36.0
Wheel Loader,Caterpillar,Fair,25.0,62306,439738,29545,Chile,Mining Company,True,True,8,193,9,0.067,2492,11.6
Wheel Loader,Volvo,Good,8.2,12745,354291,145147,Western Australia,Mining Company,True,True,14,267,5,0.41,1553,14.4
Dump Truck,Volvo,Good,3.9,13820,390449,223683,New South Wales,Equipment Dealer,True,False,5,196,2,0.573,3520,21.7
Dump Truck,Caterpillar,Fair,4.4,10453,369442,158126,Alberta Canada,Mining Company,True,False,10,201,10,0.428,2378,26.2
Excavator,Komatsu,Good,1.2,2744,508914,331090,Nevada USA,Equipment Dealer,False,False,9,199,6,0.651,2307,30.2
Crusher,Komatsu,Fair,10.9,35077,922740,231491,Nevada USA,Mining Company,False,False,12,178,1,0.251,3225,21.9
Conveyor System,Caterpillar,Good,8.3,45491,1416077,481968,Chile,Mining Company,False,True,12,232,11,0.34,5472,19.7
Dump Truck,Volvo,Fair,5.9,17013,415298,155528,South Africa,Rental Company,False,True,10,298,6,0.374,2898,25.0
Wheel Loader,Liebherr,Fair,4.2,10644,356024,158741,New South Wales,Equipment Dealer,False,False,7,240,1,0.446,2508,40.0
Wheel Loader,Caterpillar,Good,1.6,3422,369732,220743,New South Wales,Mining Company,True,False,4,220,2,0.597,2078,38.2
Wheel Loader,Caterpillar,Excellent,5.1,9890,342894,192471,South Africa,Equipment Dealer,False,False,11,50,8,0.561,1930,17.6
Wheel Loader,Liebherr,Good,3.1,6091,322428,188483,Alberta Canada,Mining Company,True,False,6,159,10,0.585,1940,34.7
Wheel Loader,Liebherr,Fair,8.0,17257,329524,110387,Nevada USA,Rental Company,False,False,12,237,7,0.335,2156,23.5
Excavator,Volvo,Fair,25.0,57831,557696,43300,Chile,Equipment Dealer,True,False,10,211,2,0.078,2313,8.5
Wheel Loader,Komatsu,Fair,2.9,7168,383861,172806,South Africa,Rental Company,True,False,7,250,5,0.45,2435,35.5
Crusher,Caterpillar,Good,4.3,12217,815757,420371,Western Australia,Rental Company,False,False,9,178,6,0.515,2846,34.5
Crusher,Hitachi,Excellent,3.5,9861,733859,521578,Queensland,Construction Company,True,False,12,215,2,0.711,2842,49.1
Wheel Loader,Komatsu,Excellent,25.0,69610,409980,50397,Queensland,Equipment Dealer,True,False,13,262,9,0.123,2784,7.0
Wheel Loader,JCB,Good,3.1,4946,293742,163474,Queensland,Mining Company,True,False,8,190,11,0.557,1599,16.6
Excavator,Generic,Good,5.0,10908,303681,154485,Alberta Canada,Rental Company,False,False,9,221,10,0.509,2191,25.4
Wheel Loader,Caterpillar,Fair,9.8,17174,393997,110204,Chile,Rental Company,True,False,10,172,10,0.28,1755,14.6
Excavator,Generic,Needs Repair,6.5,13019,357343,85666,Alberta Canada,Mining Company,False,False,10,124,10,0.24,2015,32.2
Excavator,Volvo,Good,5.5,12483,484468,226060,Alberta Canada,Mining Company,False,True,12,182,4,0.467,2263,20.0
Crusher,Komatsu,Excellent,15.0,43785,1003444,272174,Queensland,Mining Company,False,False,9,268,7,0.271,2914,13.9
Dump Truck,Caterpillar,Excellent,11.5,43992,405711,145069,South Africa,Mining Company,True,False,10,213,11,0.358,3840,21.6
Crusher,Caterpillar,Good,6.8,23537,1009319,426695,Western Australia,Mining Company,True,True,16,173,6,0.423,3445,24.2
Excavator,Caterpillar,Fair,9.9,19022,550651,139337,Queensland,Rental Company,True,False,5,124,3,0.253,1922,21.2
Bulldozer,Liebherr,Good,4.0,7043,484711,285541,Chile,Rental Company,True,False,9,256,3,0.589,1781,68.1
Excavator,Caterpillar,Good,1.2,2168,473348,316589,Chile,Equipment Dealer,True,False,8,227,6,0.669,1869,24.7
Excavator,Hitachi,Fair,8.4,21620,418546,136196,Western Australia,Mining Company,False,True,9,125,9,0.325,2588,15.3
Wheel Loader,Liebherr,Fair,2.2,5218,305833,165147,Alberta Canada,Equipment Dealer,True,True,7,259,9,0.54,2326,27.7
Excavator,Caterpillar,Good,2.0,3870,564248,337742,New South Wales,Mining Company,False,True,7,229,10,0.599,1939,21.9
Excavator,Volvo,Good,11.9,21266,546221,139673,Western Australia,Mining Company,True,True,7,175,7,0.256,1792,10.5
Conveyor System,Caterpillar,Good,1.1,5049,1676833,1111547,Queensland,Equipment Dealer,False,False,14,234,9,0.663,4478,37.0
Crusher,JCB,Fair,1.3,6027,733047,424671,New South Wales,Mining Company,False,False,8,201,6,0.579,4690,28.7
Excavator,Caterpillar,Fair,1.1,2065,631590,319105,Nevada USA,Rental Company,True,True,10,132,9,0.505,1891,16.2
Excavator,Hitachi,Fair,9.0,16638,408870,109599,Western Australia,Mining Company,True,False,13,148,1,0.268,1848,23.5
Crusher,Liebherr,Fair,3.8,15646,825521,354119,Queensland,Rental Company,False,True,7,157,8,0.429,4099,25.2
Bulldozer,Komatsu,Good,7.2,14544,646353,247910,Queensland,Rental Company,True,False,10,237,7,0.384,2012,31.3
Excavator,Hitachi,Excellent,6.1,12734,473117,264743,Alberta Canada,Equipment Dealer,False,False,11,184,9,0.56,2073,16.1
Conveyor System,Caterpillar,Excellent,17.8,99642,1464054,326997,Alberta Canada,Rental Company,True,False,8,235,4,0.223,5602,33.8
Wheel Loader,Volvo,Fair,1.1,1950,357730,195735,Alberta Canada,Mining Company,True,True,7,256,3,0.547,1827,36.5
Wheel Loader,Caterpillar,Good,18.7,47280,446704,74175,New South Wales,Mining Company,True,False,14,304,3,0.166,2530,19.6
Wheel Loader,Hitachi,Good,10.4,19699,376201,121466,Western Australia,Mining Company,True,False,13,191,5,0.323,1889,10.8
Crusher,Liebherr,Fair,13.3,50747,774775,154418,South Africa,Rental Company,False,False,8,238,11,0.199,3830,36.0
Excavator,Komatsu,Excellent,1.2,2165,576234,476178,South Africa,Mining Company,True,False,2,212,7,0.826,1833,33.0
Wheel Loader,Liebherr,Fair,17.0,39319,363398,58087,South Africa,Construction Company,False,False,11,194,11,0.16,2315,31.7
Crusher,Komatsu,Fair,1.9,9703,968445,450499,New South Wales,Rental Company,True,False,10,278,6,0.465,5020,59.0
Conveyor System,Liebherr,Needs Repair,18.1,113920,1496242,136427,Chile,Rental Company,True,False,4,210,11,0.091,6304,29.4
Crusher,JCB,Good,11.7,40798,852003,264896,Alberta Canada,Mining Company,True,False,12,180,11,0.311,3488,29.4
Dump Truck,Caterpillar,Good,2.3,8761,503295,341473,Alberta Canada,Mining Company,True,False,6,177,6,0.678,3852,36.2
Crusher,Caterpillar,Needs Repair,3.5,10727,1086457,337083,Chile,Rental Company,False,True,7,106,10,0.31,3037,37.2
Dump Truck,Caterpillar,Good,7.3,28514,485950,185758,South Africa,Mining Company,True,False,13,278,1,0.382,3885,18.0
Bulldozer,Volvo,Good,17.3,29319,648699,124951,Nevada USA,Mining Company,True,True,7,145,3,0.193,1695,16.1
Crusher,Komatsu,Fair,7.8,28204,1099776,311343,South Africa,Equipment Dealer,True,False,3,215,1,0.283,3610,28.4
Bulldozer,Komatsu,Excellent,6.3,14262,487982,248345,New South Wales,Equipment Dealer,True,False,12,207,9,0.509,2254,7.8
Crusher,Caterpillar,Fair,3.6,17503,1124499,548851,Alberta Canada,Rental Company,True,False,6,179,3,0.488,4847,37.6
Excavator,Hitachi,Good,10.1,20895,527246,167195,Queensland,Equipment Dealer,True,False,7,206,6,0.317,2079,12.6
Dump Truck,Hitachi,Needs Repair,18.3,62749,346175,28810,Queensland,Construction Company,True,False,9,201,8,0.083,3430,27.5
Conveyor System,Caterpillar,Excellent,2.4,15359,1238672,996271,Western Australia,Mining Company,False,True,2,213,3,0.804,6343,66.0
Crusher,Hitachi,Excellent,1.1,3493,852328,690009,Queensland,Equipment Dealer,False,False,11,148,10,0.81,3310,33.5
Bulldozer,Komatsu,Good,2.0,3685,694257,427257,South Africa,Mining Company,True,False,9,188,5,0.615,1850,32.4
Conveyor System,Caterpillar,Excellent,8.2,56443,1170687,547399,Alberta Canada,Mining Company,True,False,9,201,5,0.468,6860,25.3
Dump Truck,Liebherr,Good,14.9,53222,414213,87171,Chile,Mining Company,False,False,7,224,1,0.21,3577,19.7
Excavator,Caterpillar,Fair,1.6,3119,561963,319866,Queensland,Equipment Dealer,True,True,10,189,10,0.569,1905,18.0
Crusher,Liebherr,Good,3.4,10257,828924,461686,Queensland,Rental Company,True,True,6,205,3,0.557,3054,20.3
Bulldozer,Volvo,Needs Repair,3.0,6634,640852,216373,Queensland,Mining Company,True,True,6,215,8,0.338,2217,39.2
Dump Truck,Komatsu,Needs Repair,3.3,11995,434207,132122,Nevada USA,Equipment Dealer,False,True,12,274,10,0.304,3620,13.7
Wheel Loader,Volvo,Fair,2.0,5631,293151,152196,South Africa,Mining Company,True,False,11,177,11,0.519,2779,17.8
Crusher,Generic,Excellent,3.1,15172,749175,512039,Chile,Mining Company,True,False,8,248,10,0.683,4884,16.1
Wheel Loader,Caterpillar,Needs Repair,4.8,10777,314968,83487,Chile,Mining Company,True,True,5,207,7,0.265,2266,18.6
Crusher,Caterpillar,Good,5.7,20422,919516,432451,New South Wales,Mining Company,True,True,8,216,2,0.47,3603,35.1
Wheel Loader,Caterpillar,Fair,19.1,36877,342527,41118,Chile,Mining Company,False,False,5,158,12,0.12,1932,17.4
Conveyor System,Caterpillar,Needs Repair,25.0,176444,1531828,77388,Nevada USA,Mining Company,True,False,9,167,7,0.051,7058,26.5
Crusher,Caterpillar,Fair,25.0,87644,848762,66695,Queensland,Mining Company,True,False,5,150,10,0.079,3506,17.8
Excavator,Liebherr,Fair,3.0,4378,421933,201740,Alberta Canada,Rental Company,False,True,6,260,7,0.478,1472,31.7
Dump Truck,Liebherr,Good,3.8,12544,495799,246369,Alberta Canada,Construction Company,True,True,8,244,8,0.497,3295,27.4
Wheel Loader,Volvo,Needs Repair,3.8,5867,305351,83911,Alberta Canada,Mining Company,True,True,7,196,11,0.275,1541,8.8
Wheel Loader,Hitachi,Excellent,1.0,2481,301644,237492,Chile,Mining Company,True,False,13,160,4,0.787,2480,26.3
Crusher,Komatsu,Good,5.1,22612,987047,465095,New South Wales,Mining Company,True,False,9,256,5,0.471,4414,41.5
Excavator,Caterpillar,Good,6.9,12052,496384,199591,Western Australia,Mining Company,True,True,7,299,6,0.402,1739,14.6
Excavator,Generic,Good,2.2,5357,298748,202281,Alberta Canada,Mining Company,True,False,6,238,6,0.677,2472,39.1
Conveyor System,Volvo,Good,4.7,29033,1406167,686941,New South Wales,Rental Company,False,False,8,154,3,0.489,6182,43.4
Wheel Loader,Liebherr,Good,5.0,10804,340026,175154,Western Australia,Mining Company,False,True,8,158,1,0.515,2141,25.1
Dump Truck,Caterpillar,Excellent,3.3,8809,461467,325390,Chile,Mining Company,True,True,11,130,1,0.705,2632,13.9
Conveyor System,Komatsu,Good,8.4,59504,1363174,499756,Chile,Equipment Dealer,False,False,8,191,5,0.367,7086,21.6
Excavator,Caterpillar,Good,12.2,30235,612440,156556,New South Wales,Rental Company,False,False,15,207,11,0.256,2487,12.3
Wheel Loader,Caterpillar,Good,2.4,4328,338272,202530,Chile,Equipment Dealer,True,False,6,202,3,0.599,1783,24.3
Bulldozer,Generic,Excellent,1.8,2387,363630,283386,Nevada USA,Mining Company,True,False,11,249,12,0.779,1308,20.9
Dump Truck,Komatsu,Good,1.2,3229,380554,237610,New South Wales,Mining Company,False,False,6,220,12,0.624,2704,20.9
Dump Truck,Komatsu,Fair,25.0,63330,502429,39970,Alberta Canada,Equipment Dealer,True,False,6,161,4,0.08,2533,24.6
Excavator,Volvo,Excellent,5.3,10910,454118,263739,Chile,Mining Company,True,False,7,112,7,0.581,2058,12.7
Dump Truck,Komatsu,Good,7.9,18782,432060,170108,Nevada USA,Mining Company,True,True,8,203,1,0.394,2391,10.1
Dump Truck,Komatsu,Good,6.8,17722,350730,149499,Western Australia,Mining Company,True,True,5,156,1,0.426,2619,14.9
Excavator,JCB,Good,18.7,39589,480538,74687,Chile,Mining Company,False,False,7,296,7,0.155,2116,9.6
Crusher,Volvo,Good,1.1,4096,875226,584546,Western Australia,Mining Company,True,True,9,158,3,0.668,3665,40.8
Excavator,JCB,Good,3.0,4688,488908,285668,Alberta Canada,Mining Company,True,False,8,243,2,0.584,1566,23.3
Excavator,Caterpillar,Needs Repair,5.5,11810,588840,145281,New South Wales,Mining Company,True,False,12,194,9,0.247,2158,27.6
Dump Truck,Hitachi,Excellent,8.3,24774,386980,188722,South Africa,Mining Company,False,False,10,219,10,0.488,2974,19.5
Wheel Loader,Caterpillar,Needs Repair,17.4,33442,427502,42512,Nevada USA,Equipment Dealer,False,False,9,217,2,0.099,1922,23.0
Bulldozer,Komatsu,Good,13.6,31555,701451,183913,New South Wales,Equipment Dealer,False,False,8,204,8,0.262,2320,18.5
Wheel Loader,JCB,Excellent,25.0,57727,364250,44125,Nevada USA,Equipment Dealer,False,False,10,211,4,0.121,2309,8.7
Crusher,Caterpillar,Fair,9.4,35658,943883,246657,Queensland,Equipment Dealer,False,False,5,256,10,0.261,3806,14.2
Excavator,JCB,Fair,11.8,18972,362582,74004,Queensland,Rental Company,False,True,9,187,8,0.204,1601,13.2
Dump Truck,Hitachi,Good,5.7,18897,381352,190697,South Africa,Equipment Dealer,True,True,9,179,9,0.5,3316,16.5
Dump Truck,Caterpillar,Fair,4.3,15406,364909,147196,Western Australia,Rental Company,True,False,6,213,2,0.403,3590,51.6
Dump Truck,Komatsu,Good,13.2,30697,460582,106013,Alberta Canada,Equipment Dealer,True,False,6,191,10,0.23,2320,8.8
Crusher,JCB,Needs Repair,14.7,72504,668563,75103,South Africa,Mining Company,False,False,11,266,1,0.112,4932,29.2
Dump Truck,Generic,Needs Repair,4.5,9745,264978,71410,Western Australia,Equipment Dealer,False,False,19,227,12,0.269,2178,37.0
Excavator,Caterpillar,Good,9.2,19590,582353,196652,New South Wales,Rental Company,False,True,8,256,11,0.338,2121,15.7
Excavator,Liebherr,Good,7.3,12218,564087,225792,Alberta Canada,Mining Company,True,False,11,188,1,0.4,1678,18.5
Excavator,Liebherr,Good,7.9,11607,458181,177507,Alberta Canada,Rental Company,True,False,15,270,6,0.387,1465,21.1
Excavator,Komatsu,Fair,5.8,13305,487895,185540,South Africa,Equipment Dealer,False,False,12,149,10,0.38,2299,25.5
Dump Truck,Caterpillar,Excellent,4.5,12274,435516,248922,Queensland,Equipment Dealer,True,False,10,250,3,0.572,2701,16.1
Bulldozer,Liebherr,Good,16.3,21957,539074,108037,South Africa,Equipment Dealer,True,True,7,256,3,0.2,1351,12.7
Dump Truck,Volvo,Good,1.8,5438,450334,267988,New South Wales,Equipment Dealer,True,False,13,188,11,0.595,3058,41.3
Wheel Loader,Hitachi,Good,12.9,26457,320856,87831,Queensland,Equipment Dealer,True,False,9,282,10,0.274,2049,14.3
Dump Truck,Caterpillar,Good,5.9,17420,507619,244557,Alberta Canada,Rental Company,False,True,6,196,2,0.482,2956,20.1
